id,question,factor,correlation
1,Am the life of the party,extraversion,+
2,Feel little concern for others,agreeableness,-
3,Am always prepared,conscientiousness,+
4,Get stressed out easily,emotional stability,-
5,Have a rich vocabulary,intellect/imagination,+
6,Don't talk a lot,extraversion,-
7,Am interested in people,agreeableness,+
8,Leave my belongings around,conscientiousness,-
9,Am relaxed most of the time,emotional stability,+
10,Have difficulty understanding abstract ideas,intellect/imagination,-
11,Feel comfortable around people,extraversion,+
12,Insult people,agreeableness,-
13,Pay attention to details,conscientiousness,+
14,Worry about things,emotional stability,-
15,Have a vivid imagination,intellect/imagination,+
16,Keep in the background,extraversion,-
17,Sympathize with others' feelings,agreeableness,+
18,Make a mess of things,conscientiousness,-
19,Seldom feel blue,emotional stability,+
20,Am not interested in abstract ideas,intellect/imagination,-
21,Start conversations,extraversion,+
22,Am not interested in other people's problems,agreeableness,-
23,Get chores done right away,conscientiousness,+
24,Am easily disturbed,emotional stability,-
25,Have excellent ideas,intellect/imagination,+
26,Have little to say,extraversion,-
27,Have a soft heart,agreeableness,+
28,Often forget to put things back in their proper place,conscientiousness,-
29,Get upset easily,emotional stability,-
30,Do not have a good imagination,intellect/imagination,-
31,Talk to a lot of different people at parties,extraversion,+
32,Am not really interested in others,agreeableness,-
33,Like order,conscientiousness,+
34,Change my mood a lot,emotional stability,-
35,Am quick to understand things,intellect/imagination,+
36,Don't like to draw attention to myself,extraversion,-
37,Take time out for others,agreeableness,+
38,Shirk my duties,conscientiousness,-
39,Have frequent mood swings,emotional stability,-
40,Use difficult words,intellect/imagination,+
41,Don't mind being the center of attention,extraversion,+
42,Feel others' emotions,agreeableness,+
43,Follow a schedule,conscientiousness,+
44,Get irritated easily,emotional stability,-
45,Spend time reflecting on things,intellect/imagination,+
46,Am quiet around strangers,extraversion,-
47,Make people feel at ease,agreeableness,+
48,Am exacting in my work,conscientiousness,+
49,Often feel blue,emotional stability,-
50,Am full of ideas,intellect/imagination,+ 
